review_id,source_name,source_event_id,source_url,owner_username,caption,description_short,description_long,validation_status,validation_reasons,confidence_score,start_datetime,venue_name_raw,route,_raw_caption_ai_text,raw_model_text,created_at,thumbnail_url,stored_image_url,image_status ,image_storage_path,image_error
rev_1771792704138_e7g13cfl,instagram,3824562627351972285,https://www.instagram.com/p/DUTk3I4jIm9/,ministeriumclub,"/ 𝐅𝐞𝐛𝐫𝐮𝐚𝐫𝐲 𝐏𝐫𝐨𝐠𝐫𝐚𝐦 / 

A new month stepping in, with different sound forms from many different grounds but the dance remains the same. 

Stay close. 💕

•
•

Artwork design by: @cleymoore 

@x.6arretto @d.lit_music @dewon._ @mannu.montana @melizyucedal @nobr3g @paulorafael____ @rebbelle__dj @revimo.art @veragoesdeep @ellessebenn @tarkno @onlydlow_ @in.limen @schustakowitz @_aalice___ @tiagopandillaltd @daquipra_fora @marcofaraoneofficial @frank_maurel_ @syper______ @fragoso909 @dario_dea_dj",Events at Ministerium Club,Various music events with DJs at Ministerium Club.,review,missing_or_invalid_start_datetime,0.9,,Ministerium Club,needs_review,"{
  ""eventDetected"": true,
  ""confidence_score"": 0.9,
  ""title"": ""FeBRecaTK"",
  ""description_short"": ""Events at Ministerium Club"",
  ""description_long"": ""Various music events with DJs at Ministerium Club."",
  ""start_datetime"": null,
  ""end_datetime"": null,
  ""venue_name"": ""Ministerium Club"",
  ""venue_address"": ""Praça do Comércio 72, Lisboa"",
  ""category"": ""music"",
  ""tags"": [
    ""music"",
    ""club"",
    ""DJ""
  ],
  ""price_min"": null,
  ""price_max"": null,
  ""currency"": ""EUR"",
  ""is_free"": false,
  ""ticket_url"": null,
  ""timezone"": ""Europe/Lisbon"",
  ""notes"": [
    ""Saw: Ministerium Club"",
    ""Saw: Praça do Comércio 72, Lisboa"",
    ""Saw: 'FeBRecaTK'"",
    ""Saw: '19.THU', '20.FRI', '21.SAT', '27.FRI', '28.SAT'"",
    ""Saw: Various DJ names""
  ]
}",,2026-02-22T20:38:24.138Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-lax3-1_cdninstagram_com_v_t51_2885-15_627578418_738224099160140_3099035_1771792705713_hx6csp.jpg,stored,inbox/scontent-lax3-1_cdninstagram_com_v_t51_2885-15_627578418_738224099160140_3099035_1771792705713_hx6csp.jpg,
rev_1771792719357_i5qawm7s,instagram,3837538990224609428,https://www.instagram.com/p/DVBrWEkDJCU/,kunsthallelissabon,"✨ Ainda não viste Luso-Portugueses de René Tavares? A exposição está quase a terminar, mas ainda consegues vê-la!✨ 

O último dia é 28 de fevereiro‼️

Aparece antes que acabe ❤️

""Luso-portugueses, René Tavares, 2025. Vista de exposição, Kunsthalle Lissabon""

-

✨Haven't seen René Tavares' Luso-Portugueses exhibition yet? It's almost over, but you can still see it!✨

The last day is February 28th‼️

Come before it's over ❤️

""Luso-Portugueses, René Tavares. Exhibition view. Kunsthalle Lissabon."" 

📸 Bruno Lopes",Luso-Portugueses exhibition by René Tavares ending on February 28th at Kunsthalle Lissabon.,"René Tavares' exhibition 'Luso-Portugueses' is currently on display at Kunsthalle Lissabon. The exhibition is almost over but still viewable until the last day, February 28th. Don't miss the opportunity to see this art exhibition before it ends.",fail,missing_or_invalid_start_datetime,0.95,,Kunsthalle Lissabon,needs_review,,,2026-02-22T20:38:39.357Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-atl3-3_cdninstagram_com_v_t51_2885-15_639725061_18565113655046900_73047_1771792720694_nw7vvo.jpg,stored,inbox/scontent-atl3-3_cdninstagram_com_v_t51_2885-15_639725061_18565113655046900_73047_1771792720694_nw7vvo.jpg,
rev_1771792727006_b76nu8fd,instagram,3833994743852640603,https://www.instagram.com/p/DU1Fef6DSlb/,duplexair,"SOMEONE LIKE THIS AND THAT | Guilherme Figueiredo

@jelherme_magma 

Inauguração/Opening:
27.02.2026 | 18h

Texto/Text: Odete @odetetheslayer 
Cartaz/Poster: Pedro Brito @pdrobrto 

| Horário/Schedule: visitas por marcação/visits by appointment 

“Fundamentado na influência dos videojogos, este projeto explora a ficção produzida por fãs como uma extensão da existência virtual e a sua relação com o mundo palpável. Estas produções operam como formas de continuidade, onde o virtual se reproduz, circula e se infiltra para além do seu contexto original.
Ao analisar a relação entre sujeito e objeto/símbolo com o auxílio metafórico da massagem, esta exposição explora de forma distorcida a capacidade que corpos virtuais têm de se tornarem, ou produzirem, efeitos carnais que se manifestam para além da imagem. Mais do que questionar quem ou o que são esses corpos, o projeto concentra-se nos modos através dos quais essas
influências se manifestam.”

“Based on the influence of video games, this project explores fan-produced fiction as an extension of virtual existence and its relationship with the tangible world. These productions operate as forms of continuity, where the virtual reproduces, circulates, and infiltrates beyond its original context. 
By analyzing the relationship between subject and object/symbol with the metaphorical aid of massage, this exhibition explores in a distorted way the capacity that virtual bodies have to become, or produce, carnal effects that manifest beyond the image. More than questioning who or what these bodies are, the project focuses on the ways in which these influences manifest themselves.”

#duplexair #guilhermefigueiredo #someonelikethisandthat #odete #soloexhibition",Exhibition exploring fan-produced fiction influenced by video games and the relationship between virtual bodies and physical effects.,"Based on the influence of video games, this project explores fan-produced fiction as an extension of virtual existence and its relationship with the tangible world. These productions operate as forms of continuity, where the virtual reproduces, circulates, and infiltrates beyond its original context. By analyzing the relationship between subject and object/symbol with the metaphorical aid of massage, this exhibition explores in a distorted way the capacity that virtual bodies have to become, or produce, carnal effects that manifest beyond the image. More than questioning who or what these bodies are, the project focuses on the ways in which these influences manifest themselves.",fail,missing_venue_name_raw,0.95,2026-02-27 18:00:00,,needs_review,,,2026-02-22T20:38:47.006Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/instagram_fgoa1-1_fna_fbcdn_net_v_t51_2885-15_634911775_18119714836590491_648021_1771792727911_2kxt65.jpg,stored,inbox/instagram_fgoa1-1_fna_fbcdn_net_v_t51_2885-15_634911775_18119714836590491_648021_1771792727911_2kxt65.jpg,
rev_1771792740071_lpw6s4dt,instagram,3836351040941719954,https://www.instagram.com/p/DU9dPIlCAGS/,comcalmaecultura,"🥳 Agenda Cultural de Março 🥳

Cartaz: @catrinica","Various events including music, poetry, cinema, and more in March.","A range of events such as music performances, poetry readings, cinema screenings, and comedy shows happening in March. Includes masterclass and theatre workshops.",review,missing_or_invalid_start_datetime|venue_missing_but_in_notes,0.9,,,needs_review,"{
  ""eventDetected"": true,
  ""confidence_score"": 0.9,
  ""title"": ""Event Listings for March"",
  ""description_short"": ""Various events including music, poetry, cinema, and more in March."",
  ""description_long"": ""A range of events such as music performances, poetry readings, cinema screenings, and comedy shows happening in March. Includes masterclass and theatre workshops."",
  ""start_datetime"": null,
  ""end_datetime"": null,
  ""venue_name"": """",
  ""venue_address"": """",
  ""category"": ""other"",
  ""tags"": [""music"", ""poetry"", ""cinema"", ""comedy"", ""workshop"", ""theatre""],
  ""price_min"": null,
  ""price_max"": null,
  ""currency"": ""EUR"",
  ""is_free"": false,
  ""ticket_url"": null,
  ""timezone"": ""Europe/Lisbon"",
  ""notes"": [
    ""Saw: dates and events for March"",
    ""Saw: multiple event types like music, poetry, cinema, comedy"",
    ""Saw: '21 de Março | Sábado | 15h00 - 17h30'"",
    ""Text included event names, dates, and categories""
  ]
}",,2026-02-22T20:39:00.071Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-iad3-1_cdninstagram_com_v_t51_2885-15_638321484_18453923641100708_72939_1771792741469_6nh97v.jpg,stored,inbox/scontent-iad3-1_cdninstagram_com_v_t51_2885-15_638321484_18453923641100708_72939_1771792741469_6nh97v.jpg,
rev_1771792768156_krlikbui,instagram,3834683469859692468,https://www.instagram.com/p/DU3iEx_DJ-0/,musademarvila,"Os @celsonline decidiram fazer o lançamento auditivo do seu novo disco num dos maiores antros de INDIECORNOS de Lisboa. Não podia ser mais perfeito. 

Depois, teremos os dj sets mais chronically online e bbbangerz da história, trazidos pelos próprios, @joaoborsch e @i_minerva_. 

Quer sejas performativo ou pseudo-humilde, esta festa também é tua.",Lançamento do novo disco dos Celso com dj sets por João Borsch e i_minerva_ em Lisboa.,"Os Celso online lançam o seu novo disco num conhecido local de INDIECORNOS em Lisboa. Após o lançamento, haverá dj sets com música chronically online e bbbangerz, oferecidos pelos próprios Celso, João Borsch e i_minerva_. Uma festa aberta para todos, performativos ou pseudo-humildes.",fail,missing_or_invalid_start_datetime,0.85,,Um dos maiores antros de INDIECORNOS de Lisboa,needs_review,,,2026-02-22T20:39:28.156Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-iad3-1_cdninstagram_com_v_t51_2885-15_635298309_18121267432576141_60819_1771792769524_fmo23g.jpg,stored,inbox/scontent-iad3-1_cdninstagram_com_v_t51_2885-15_635298309_18121267432576141_60819_1771792769524_fmo23g.jpg,
rev_1771792777684_3y92egyj,instagram,3836147599522967619,https://www.instagram.com/p/DU8u-q_iLBD/,musicasemcapa,"➡️ Está aberta a 24.ª edição dos Novos Talentos FNAC, que regressam em 2026 sob o lema “A revolução está AI. Vais deixar de criar por ti?”. A iniciativa volta a desafiar a criatividade humana num contexto marcado pela crescente presença da inteligência artificial, reforçando a criação como um ato pessoal, crítico e insubstituível.

As candidaturas decorrem até 26 de fevereiro de 2026 e estão abertas a projetos nas áreas de Música, Fotografia, Cinema, Escrita, Ilustração e Videojogos. No total, estão em jogo mais de 75.000 euros em prémios, entre valores monetários, oportunidades de formação, exposição e atuação ao vivo.

Na área da Música, o júri é composto por Henrique Amaro, Selma Uamusse, Lia Pereira e Samuel Úria. O vencedor recebe um Prémio Repsol no valor de 5.000 euros, bem como o Prémio FNAC, que inclui a integração das músicas na coletânea “Novos Talentos FNAC 2026” e atuação no FNAC LIVE 27. As menções honrosas recebem 2.500 euros e as mesmas oportunidades de edição e palco.

A edição anterior distinguiu a banda Bad Tomato, vencedora na categoria de Música com o tema “No Fun”. Na mesma área, Mateus Verde e Libra receberam menções honrosas com “Animal Celestial” e “Purity”, respetivamente.

Os Novos Talentos FNAC 2026 reforçam o seu compromisso em promover aquilo que a tecnologia não consegue replicar: a emoção, a intuição, o risco e a identidade artística. 

📝 Inscrições no link na bio em Música sem Capa (Todos os links) 👈

📸 Natasha Cabral","Concurso para projetos nas áreas de Música, Fotografia, Cinema, Escrita, Ilustração e Videojogos.","Está aberta a 24.ª edição dos Novos Talentos FNAC, que regressam em 2026 sob o lema “A revolução está AI. Vais deixar de criar por ti?”. As candidaturas decorrem até 26 de fevereiro de 2026 e estão abertas a projetos nas áreas de Música, Fotografia, Cinema, Escrita, Ilustração e Videojogos. No total, estão em jogo mais de 75.000 euros em prémios. Na área da Música, o vencedor recebe 5.000 euros e oportunidades de formação, exposição e atuação ao vivo. A iniciativa desafia a criatividade humana num contexto marcado pela crescente presença da inteligência artificial e reforça a criação como ato pessoal e insubstituível.",fail,missing_or_invalid_start_datetime|missing_venue_name_raw,0.95,,,needs_review,,,2026-02-22T20:39:37.684Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-ord5-2_cdninstagram_com_v_t51_2885-15_639823936_18298197817302591_86122_1771792779244_22e57b.jpg,stored,inbox/scontent-ord5-2_cdninstagram_com_v_t51_2885-15_639823936_18298197817302591_86122_1771792779244_22e57b.jpg,
rev_1771792801765_fw16xmb1,instagram,3835430039119043753,https://www.instagram.com/p/DU6L0yyjZyp/,vago.lisboa,"Our February resident CVLT (@djcvlt) was the instigator and host of beloved club night No Idols, which took place every month at Lounge (@loungelisboa) from 2013 to 2025. 

A space for experimentation and collaboration, No Idols crossed genres, subcultures, and wasn’t afraid to challenge what could be played out on a dance floor. 

CVLT returns for week 3 of his Vago residency, tonight 22:00-02:00.

📸 @shotbyteja",CVLT returns for week 3 of his Vago residency at Lounge tonight from 22:00 to 02:00.,"Our February resident CVLT (@djcvlt) was the instigator and host of the beloved club night No Idols at Lounge in Lisboa. No Idols was known for its experimentation and crossing genres. Now, CVLT returns for week 3 of his Vago residency tonight from 22:00 to 02:00 at Lounge.",fail,missing_or_invalid_start_datetime,0.95,,Lounge,needs_review,,,2026-02-22T20:40:01.765Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-ord5-3_cdninstagram_com_v_t51_2885-15_639480667_18131940541521378_63252_1771792803250_hdtv0o.jpg,stored,inbox/scontent-ord5-3_cdninstagram_com_v_t51_2885-15_639480667_18131940541521378_63252_1771792803250_hdtv0o.jpg,
rev_1771792836102_rqa2adpe,instagram,3816372855617941477,https://www.instagram.com/p/DT2euRljO_l/,abarracateatro,"Na Barraca dia 30 e 31 de janeiro, venha Celebrar O’Neill connosco.

Com uma extensa obra dedicada à poesia e uma longa e reconhecida carreira de actor, Sinde Filipe dá voz as mais íntimas vibrações de cada palavra, tornando a poesia viva e apetecível.

A poesia, enquanto essência do pensamento e da escrita, deve ocupar um lugar de destaque, cada vez mais urgente, na formação de jovens leitores e público em geral.

Tornar a sua poesia conhecida do grande público, sobretudo jovens.
Promover o valor da Obra de O’Neill.
Revelar a metáfora e o sentido do poema, a sua importância enquanto essência de pensamento e emoção.

Sessão de aprox 45 minutos.
Para o público em geral de todas as idades, incluindo escolas.
Uma “viagem” informal pela antologia poética de O’Neill, pelo seu universo temporal, contexto social e cultural.

Entrada livre por marcação prévia sujeita à lotação da sala.

A não perder!

INFORMAÇÕES E RESERVAS: 213 965 360 | 924 460 664 ou bilheteira@abarraca.pt",Sessão de poesia com Sinde Filipe dedicada à obra de O’Neill na Barraca.,"Na Barraca dia 30 e 31 de janeiro, venha Celebrar O’Neill connosco. Com uma extensa obra dedicada à poesia e uma longa carreira de ator, Sinde Filipe dá voz às mais íntimas vibrações de cada palavra, tornando a poesia viva e apetecível. Uma viagem informal pela antologia poética de O’Neill, seu universo temporal, contexto social e cultural. Sessão de aproximadamente 45 minutos para público geral e escolas. Entrada livre por marcação prévia sujeita à lotação da sala.",fail,missing_or_invalid_start_datetime,0.95,,Barraca,needs_review,,,2026-02-22T20:40:36.102Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-ord5-3_cdninstagram_com_v_t51_2885-15_621954444_18220140043308115_61921_1771792837631_c9jug3.jpg,stored,inbox/scontent-ord5-3_cdninstagram_com_v_t51_2885-15_621954444_18220140043308115_61921_1771792837631_c9jug3.jpg,
rev_1771792843006_pcigurgp,instagram,3836106930133955090,https://www.instagram.com/p/DU8lu2rDHIS/,ministeriumclub,"𝐒𝐚𝐭𝐮𝐫𝐝𝐚𝐲, 𝐭𝐡𝐞 𝟐𝟏𝐬𝐭 𝐨𝐟 𝐅𝐞𝐛𝐫𝐮𝐚𝐫𝐲.

<
Renewed and ready for another year’s residency at the club, Adrena will come nothing but short of high voltage and quality techno soundscapes. 

Music guidance by:

@tarkno 
@onlydlow_ 
@inlimen__ 
@schustakowitz 
>

Stay present, respect your surroundings and make it easy. 📵💕

🎫: tickets available through the link in bio of @adrena.events and at the door. 
•
•

Artwork design by: @cleymoore 

•
•

#ministeriumclub",Adrena returns for another year’s residency with high voltage and quality techno soundscapes.,"Renewed and ready for another year’s residency at the club, Adrena will deliver high voltage and quality techno soundscapes. Music guidance by: @tarkno, @onlydlow_, @inlimen__, @schustakowitz. Stay present, respect your surroundings and make it easy. Tickets available through the link in bio of @adrena.events and at the door. Artwork design by @cleymoore.",fail,missing_or_invalid_start_datetime,0.95,,Ministerium Club,needs_review,,,2026-02-22T20:40:43.007Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-mia5-1_cdninstagram_com_v_t51_2885-15_639564542_1688641555831864_268625_1771792844481_2s05gi.jpg,stored,inbox/scontent-mia5-1_cdninstagram_com_v_t51_2885-15_639564542_1688641555831864_268625_1771792844481_2s05gi.jpg,
rev_1771792860369_qhpbhddp,instagram,3836789963287436187,https://www.instagram.com/p/DU_BCS3iBub/,musicasemcapa,"➡️ Depois de ter esgotado todas as salas em Portugal em 2025, o músico brasileiro Rubel regressa ao país em novembro de 2026 com a digressão “BELEZA. Rubel e Violão”, um espetáculo de formato intimista que passará por três das mais emblemáticas salas nacionais.

A digressão tem datas marcadas para 13 de novembro no Coliseu dos Recreios (Lisboa), 19 de novembro no Coliseu Porto Ageas (Porto) e 21 de novembro no Convento São Francisco (Coimbra).

Sozinho em palco, apenas acompanhado por voz e violão, Rubel apresenta um concerto que recupera a essência do início da sua carreira. Trata-se de um espetáculo despojado, centrado na escuta e na proximidade com o público, onde cada palavra e cada silêncio assumem um papel determinante na construção musical.

O alinhamento percorre momentos marcantes de toda a discografia do artista e inclui temas do mais recente álbum, “Beleza. Mas agora a gente faz o que com isso?”, distinguido pela Música Sem Capa como um dos 50 álbuns brasileiros em destaque de 2025. 

Reconhecido pela atenção à palavra e pela delicadeza das suas composições, Rubel tem vindo a afirmar-se como um dos nomes mais singulares da música brasileira contemporânea, reunindo elogios de várias áreas artísticas, incluindo o escritor Valter Hugo Mãe, que destacou a delicadeza e a humanidade presentes na sua obra.

Na digressão anterior, os concertos esgotaram com grande antecedência, levando agora ao anúncio destas novas datas, que surgem também como uma das últimas oportunidades para assistir a este espetáculo assente num dos períodos mais aclamados da carreira do músico.

“BELEZA. Rubel e Violão” apresenta-se assim como um convite à partilha e à emoção, num encontro direto com canções que privilegiam a intimidade e a relação próxima entre artista e público.

🎟️ Bilhetes disponíveis através do link na bio da Música Sem Capa (todos os links):

•	13 de novembro — Coliseu dos Recreios, Lisboa
•	19 de novembro — Coliseu Porto Ageas, Porto
•	21 de novembro — Convento São Francisco, Coimbra

📸 foto promocional",Concerto intimista de Rubel ao violão em três cidades portuguesas em novembro de 2026.,"O músico brasileiro Rubel regressa a Portugal em novembro de 2026 com a digressão “BELEZA. Rubel e Violão”, apresentando um espetáculo intimista com voz e violão em três salas emblemáticas: Coliseu dos Recreios (Lisboa) a 13 de novembro, Coliseu Porto Ageas (Porto) a 19 de novembro, e Convento São Francisco (Coimbra) a 21 de novembro. O concerto foca a essência da carreira do artista, privilegiando a proximidade com o público e incluindo temas do álbum “Beleza. Mas agora a gente faz o que com isso?”.",fail,missing_or_invalid_start_datetime,0.99,,"Coliseu dos Recreios, Coliseu Porto Ageas, Convento São Francisco",needs_review,,,2026-02-22T20:41:00.370Z,,https://eeuushrvobugaehmwnyb.supabase.co/storage/v1/object/public/event-images/inbox/scontent-iad3-2_cdninstagram_com_v_t51_2885-15_635302701_18298289407302591_44341_1771792861741_jafkiu.jpg,stored,inbox/scontent-iad3-2_cdninstagram_com_v_t51_2885-15_635302701_18298289407302591_44341_1771792861741_jafkiu.jpg,
